,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,paita,-5.0892,-81.1144,66.76,80,36,11.83,PE,1624283497
1,pisco,-13.7,-76.2167,64.45,77,90,4.61,PE,1624283499
2,punta arenas,-53.15,-70.9167,41.11,75,75,14.97,CL,1624283207
3,ushuaia,-54.8,-68.3,49.66,53,40,5.75,AR,1624283328
4,husavik,66.0449,-17.3389,53.51,56,99,7.87,IS,1624283500
5,leningradskiy,69.3833,178.4167,38.62,76,20,8.08,RU,1624283501
6,rikitea,-23.1203,-134.9692,75.31,82,92,17.96,PF,1624283502
7,cape town,-33.9258,18.4232,69.12,62,0,16.11,ZA,1624283503
8,vardo,70.3705,31.1107,51.55,89,100,21.99,NO,1624283503
9,saint george,37.1041,-113.5841,86.54,19,1,1.99,US,1624283504
10,port alfred,-33.5906,26.891,80.53,29,8,10.29,ZA,1624283505
11,georgetown,5.4112,100.3354,81.9,80,20,0.0,MY,1624283505
12,pachino,36.7186,15.0907,107.64,53,92,16.13,IT,1624283506
13,wollongong,-34.4333,150.8833,54.09,86,5,5.64,AU,1624283501
14,quatre cocos,-20.2078,57.7625,71.71,59,100,17.16,MU,1624283507
15,teguldet,57.3064,88.1667,56.84,63,82,3.76,RU,1624283508
16,narsaq,60.9167,-46.05,54.88,49,9,3.53,GL,1624283509
17,lata,40.1629,-8.3327,67.93,68,75,8.75,PT,1624283509
18,khatanga,71.9667,102.5,69.33,49,94,14.56,RU,1624283510
19,biltine,14.5333,20.9167,104.05,10,12,7.34,TD,1624283511
20,castro,-24.7911,-50.0119,56.46,76,99,5.23,BR,1624283512
21,xining,36.6167,101.7667,63.46,49,94,2.89,CN,1624283512
22,metro,-5.1131,105.3067,77.85,82,100,6.73,ID,1624283513
23,atuona,-9.8,-139.0333,78.94,79,22,16.35,PF,1624283514
24,bethel,41.3712,-73.414,81.72,87,90,4.61,US,1624283515
25,puerto ayora,-0.7393,-90.3518,71.55,96,100,5.01,EC,1624283515
26,meulaboh,4.1363,96.1285,77.95,84,98,6.11,ID,1624283517
27,riyadh,24.6877,46.7219,107.74,6,0,13.8,SA,1624283223
28,tralee,52.2704,-9.7026,59.32,57,2,16.33,IE,1624283518
29,wageningen,51.9667,5.6667,63.18,89,90,1.99,NL,1624283519
30,saskylakh,71.9167,114.0833,73.92,56,95,7.27,RU,1624283519
31,kurumkan,54.3,110.3,68.45,58,78,1.77,RU,1624283520
32,hobart,-42.8794,147.3294,42.06,93,0,1.01,AU,1624283421
33,ribeira grande,38.5167,-28.7,70.2,68,40,4.61,PT,1624283521
34,bredasdorp,-34.5322,20.0403,85.32,19,0,13.8,ZA,1624283522
35,jamestown,42.097,-79.2353,78.08,91,75,10.0,US,1624283435
36,cherskiy,68.75,161.3,60.1,46,31,4.05,RU,1624283523
37,hermanus,-34.4187,19.2345,77.81,47,0,18.12,ZA,1624283524
38,dikson,73.5069,80.5464,33.55,84,9,6.82,RU,1624283525
39,mahebourg,-20.4081,57.7,71.89,60,40,16.11,MU,1624283525
40,vestmannaeyjar,63.4427,-20.2734,47.39,87,90,18.41,IS,1624283526
41,la romana,18.4273,-68.9728,83.93,83,40,11.5,DO,1624283527
42,athmallik,20.7219,84.5348,89.17,52,100,1.23,IN,1624283528
43,new norfolk,-42.7826,147.0587,41.72,88,7,2.91,AU,1624283529
44,bathsheba,13.2167,-59.5167,86.61,54,20,21.85,BB,1624283530
45,busselton,-33.65,115.3333,46.04,76,100,11.25,AU,1624283531
46,grindavik,63.8424,-22.4338,48.67,100,90,26.46,IS,1624283532
47,kerema,-7.9631,145.7785,78.4,87,100,3.89,PG,1624283533
48,bluff,-46.6,168.3333,47.8,73,87,16.22,NZ,1624283534
49,guarapari,-20.6667,-40.4975,77.92,72,60,6.82,BR,1624283534
50,bonthe,7.5264,-12.505,79.16,82,100,12.24,SL,1624283535
51,wahpeton,46.2652,-96.6059,55.22,56,8,13.35,US,1624283536
52,hasaki,35.7333,140.8333,67.17,84,100,8.7,JP,1624283537
53,lokosovo,61.1333,74.8167,51.1,64,100,9.57,RU,1624283538
54,korla,41.7597,86.1469,87.22,15,100,8.39,CN,1624283538
55,summerside,46.3959,-63.7876,75.69,64,100,6.91,CA,1624283539
56,port-gentil,-0.7193,8.7815,80.56,78,75,12.66,GA,1624283540
57,milas,37.3164,27.7839,83.55,42,20,20.71,TR,1624283541
58,flin flon,54.7682,-101.865,48.04,66,75,4.61,CA,1624283541
59,mataura,-46.1927,168.8643,47.48,96,100,4.36,NZ,1624283542
60,smithers,54.7804,-127.1743,50.32,81,75,3.44,CA,1624283359
61,albany,42.6001,-73.9662,83.89,74,100,3.0,US,1624283421
62,avarua,-21.2078,-159.775,66.25,82,75,3.44,CK,1624283544
63,purpe,64.4803,76.6897,54.37,45,100,12.73,RU,1624283544
64,chimbote,-9.0853,-78.5783,66.27,82,100,6.51,PE,1624283545
65,yellowknife,62.456,-114.3525,55.92,47,20,4.61,CA,1624283426
66,canutama,-6.5339,-64.3831,83.89,66,13,1.63,BR,1624283546
67,sao felix do xingu,-6.6447,-51.995,88.38,41,15,3.58,BR,1624283547
68,uaua,-9.8414,-39.4817,83.25,52,60,11.65,BR,1624283548
69,pevek,69.7008,170.3133,43.81,66,11,1.23,RU,1624283549
70,kandrian,-6.2167,149.55,76.8,91,69,6.15,PG,1624283550
71,gouyave,12.1646,-61.7296,79.57,83,40,16.11,GD,1624283550
72,victoria,22.2855,114.1577,87.85,82,100,1.01,HK,1624283551
73,contamana,-7.3333,-75.0167,78.66,75,99,1.52,PE,1624283552
74,longyearbyen,78.2186,15.6401,40.84,81,75,13.8,SJ,1624283553
75,akyab,20.15,92.9,80.64,85,100,4.0,MM,1624283554
76,batagay,67.6333,134.6333,64.22,48,95,3.15,RU,1624283555
77,midland,31.9974,-102.0779,82.06,73,1,13.8,US,1624283336
78,vila franca do campo,37.7167,-25.4333,68.41,62,100,7.16,PT,1624283556
79,qaqortoq,60.7167,-46.0333,51.17,62,24,5.23,GL,1624283557
80,panama city,8.9936,-79.5197,76.28,95,75,2.3,PA,1624283536
81,dunedin,-45.8742,170.5036,49.8,63,100,18.01,NZ,1624283558
82,sao joao da barra,-21.6403,-41.0511,75.29,61,97,13.04,BR,1624283558
83,saint anthony,45.0205,-93.218,58.55,68,20,4.0,US,1624283559
84,boguchany,58.3814,97.4531,50.59,95,100,10.98,RU,1624283560
85,severo-yeniseyskiy,60.3725,93.0408,47.53,98,100,6.08,RU,1624283561
86,omboue,-1.5746,9.2618,80.91,71,82,11.1,GA,1624283561
87,kangaatsiaq,68.3065,-53.4641,39.61,81,13,11.9,GL,1624283562
88,norman wells,65.282,-126.8329,59.04,58,90,4.61,CA,1624283563
89,alofi,-19.0595,-169.9187,62.49,94,100,1.14,NU,1624283564
90,faya,18.3851,42.4509,88.32,16,100,9.46,SA,1624283565
91,klaksvik,62.2266,-6.589,49.12,84,17,13.73,FO,1624283565
